,src,tgt
661,"In between, when their knees hurt, she sat in a palanquin and went.",बीच बीच में जब उननकै पटै लागि जैछीं तो उ डोलि में बैठि बेर गयीं।
662,This will always be yours.,यौ हमेशाक लिजी तुमर छु।
663,"House cleaning, decoration, and Aipan-making feel like a competition because now everyone?s preparing for Dhanteras, Narak Chaturdashi, Diwali, Govardhan, and Bagwal.","घरनैक सफाई सजावट ऐपण दिण पौ दिणैक होड़ जै हैजैं किलैकि आब सब धनतेरस, नर्क चतुर्दशी, दीपावली, गोवर्धन और बग्वालिक त्यारैक तैयारी में लाग जानि।"
664,From a life of slavery to any life.,गुलामीक जीवन ले के जीवन हुं।
665,"On a severe injury, one could face up to seven years of punishment.",मस्त चोट लागण पर सात साल तक सजा है सकें।
666,Then Jesus took his twelve disciples aside and told them what would happen to him.,तब यीशु आपण बारि शिष्यों कैं अलग लिजैबेर उनुकैं बतूण भैटीं कि मि पर के के बितेलि।
667,A sanitation worker went inside to clean.,एक सफाई कर्मचारी सफाई करणाक लिजि भितेरां जाणय।
668,"So bosses, drivers, property sellers, criminals, and sand-gravel sellers held this event in Haldwani city for the first time.","तो सैबो, डराइवरूंकौ, प्रोपर्टी बेचनी वालूंकौ, अपराधी लोगूंकौ और रेता-बजरी बेचनी वालूंक हल्द्वाणि नगर में यस कार्यक्रम पैली बार भौ।"
669,"Yes, brother, I saw it too.","होय पैं, मैंलै तो देखौ।"
670,Pandey Ji was the chief poet in that program.,पाण्डे ज्यू उ कार्यक्रम में प्रमुख कबि भै।
671,"And when they came home, they showed it to his mother, saying, We got this tunic; is it Joseph?s?","और उनुल घर ऐबेर उकैं आपण बौज्यू कैं दिखैबेर कौ, हमुकैं यौ कुर्त मिलौ, के यौ यूसुफक छा?"
672,And those who trusted his words that day and took baptism joined them; their number was three thousand.,"और जो मैंस उ दिन उनर बातों मिं भरौस धरिबेर पाणिक-बपतिस्मा लिबेर उनार दगाड़ मिलीं, उनेरि गिनती तीन हजार छी।"
673,"It was midnight, and Damu?s heart always stayed awake with respect for women.","राता्क बार बाजि हा्य, दमुवांक दिल में नारी सम्मानैकि भावना चौबिसों घंट जगियै रुनेर हई।"
674,"In the name of Lord Jesus Christ, I?m ready not only to argue in Jerusalem but to die too.",मी प्रभु यीशु मसीक नामल यरुशलेम मिं न केवल बादीणक लिजी पर मरणक लिजी लै तैय्यार छूं।
675,"Gumani Ji described many fruits and vegetables found in Kumaon?banana, lemon, walnut, pomegranate, pear, orange, curd, special rice, roasted yam in embers.","गुमानी ज्यूल कुमाऊँ में मिलनेर भौत फल-साग पातक वर्णन करि राखछ-केला, निम्बू, अखोड़, दाड़िम, रिखू, नारिंग आदो दही, खासो भात जमालि को कलकलो भूना गडेरी गचा।"
676,"King Agrippa said to Festus, If he hadn?t appealed to the Emperor, he could have been freed.","रॉज अग्रिप्पाल फेस्तुस धैं कौ, अगर यैल सम्राट धैं अपील नि करी हुंछी, तब है सकछी कि यौ छुटि जांछी।"
677,This was just an imaginary trap of Radha?s mind.,यौ तो राधाक मनक एक काल्पनिक बनाई स्याप हय।
678,"The scooter rider stopped the scooter, and they both went into a shop.",स्कूटर वा्ल स्कूटर रोक द्यूँ और ऊँ द्वी झणि एक दुकान में जानी।
679,"I got scared and said, Now I?ll die, and somehow gathering courage, I thought of drowning myself in the lake.","मैं डरन है गयूँ, मैंल कौ अब मैल मरण छ और जसि-तसि हिम्मत करिबे मैंल मरणा्क लिजि ताल में डुबणकि सोच ली।"
680,"Before this, the great poet Omprakash Shiv from Nagpur reviewed poetry among readers first.","या्स सुधि पाठकों में सबुहै पैली महाकवि ओमप्रकाश शिव, बाल साहित्यकार एवं प्रबन्ध संपादक दीवान मेरा नागपुर ल काव्य समीक्षा करी।"
681,"I trust in God, just as it?s certain that both the righteous and sinners will rise again after death.","मी परमेश्वर मिं भरौस धरनू, जस यौ खुद धरनी कि धर्मी और अधर्मी द्विवै मरियक बाद दुबार ज्यून जरूड़ ह्‌वाल।"
682,"Among all these family members, asking would be right perhaps.",यौं सब परिवार वालोंक बीचम पुछण ठीक रौल सैद।
683,"On December 24, 2017, Sunday, at 2 PM in Garhwal Bhawan, New Delhi, a Kumaoni-Garhwali poetry conference warmly welcomed new poets.",24 दिसम्बर 2017 रविवार हुणि गढ़वाल भवन नई दिल्ली में 2 बजी आयोजित हुणी कुमाउनी-गढ़वाली कवि सम्मेलन में नईं कवियों क हार्दिक स्वागत छ।
684,"His brother Joseph died, and now he?s the only one left.","वीक भै यूसुफ तो मरि गो, ऑब यौ यकलै बचि रौ।"
685,Then that wise woman ran happily to the disciples.,तब उं स्यैणी खुशील दौड़नै शिष्योंक पास जाण लागीं।
686,"And he brought them to him, and seeing Jesus, the spirit twisted the boy, threw him down scared, and he started rolling on the ground.",और उं उकैं उनर पास ली आईं और यीशु कैं देखिबेर भूतल च्यल कैं मरोड़ दे और वीक खाप बे गाज उण भैटौ और उ मांट मिं लोट पोट करण लागौ।
687,"At night, land registration happened in the British office.",राति अंग्रेजक दफ्तर में जमीन लिखाणि है।
688,"But Judah said to his mother, The deputy king of Egypt warned us that unless your youngest brother is with you, don?t come to me.","लेकिन यहूदाल आपण बौज्यू धैं कौ, मिस्र देशक उप-रॉजल हमुकैं समझैबेर कै रॉखछी कि जब तलक तुमर दगाड़ तुमर नॉन भै नि ह्‌वल तब तलक तुम म्यर पास नि आया।"
689,"Walking along, he reached that village.",हिटते हिटते उ ए गौं में पुजि।
690,The turtle went into the water.,कचुव पाणि हयी भै।
691,"Then your mother spread a mat in her corner and said, Come, girl, I?ll make you a sip of tea.","तब तुमेरि इजैल अपणि तेदरि में एक फिण बिछाते कौ, आ च्येलि भैट, मैं त्या्र लिजि एक घुटुक चहा बनूनू।"
692,"For about two hours, despite nonstop heavy rain, Koshi didn?t go inside that cave.",लगभग द्वी घंट तक लगातार मूसलाधार बारिश हुणाक वील कौशि कें उ ओड्यार भितेर नीन ऐ जें।
693,"What?s with the wise women and kids, what?s what?","स्यैणी और ना्नतिनोंक कां छु, कां छु?"
694,"If your eye leads you astray from God?s path, then pluck it out.","अगर तुमर ऑख तुमुकैं परमेश्वरक बॉट बे भटकूं, तब तुम उकैं निकालि दियो।"
695,"The next day, after breakfast, Damu?s sister-in-law didn?t go to the office.",दुहार दिन बेइयै कै चार नाश्ता-पाणि करिबेर दमुवा भागुलि औफिस न्है जानी।
696,Now such a big chance won?t come again.,आब यै बेर ठुल मौक नी मिल सकन।
697,We had to stuff our luggage and ourselves into the general bogie; Jagathyai Prayag Dutt Bhatt Ji took responsibility since urgent reservations weren?t available.,हमन् जनरल बोगी में सामान सहित ठोसणैं जिम्मेदारी जगथयी प्रयाग दत्त भट ज्यूनैकि भै किलैकि अर्जेन्ट रिजर्वेशन कां मिलनेर भै।
698,"In our place, that temple is called Kudmai or Kulmai.",हमार यां उ मन्दिर कैं कुडमाई या कुलमाई कूंछी।
699,"I said, Lord, he knows himself that I dragged his people out of synagogues and beat them in jails.","मील कौ, प्रभु, उं खुद जाणनी कि मी तुमार मैंसों कैं सभा-घरों बे निकाल-निकालिबेर जेल मिं खितिबेर मारछी।"
700,"After reaching the ridge, Musa?s father stood silently in front of the burning pyre.",अदबाट् पुजि बेर मुसाक बाबुलि चिताय बरेत्ति सुनसान जा हैरयीं कि बात।
701,"Then Festus said, King Agrippa and all people, look at this man; all the Jews in Jerusalem and here loudly begged me that this man shouldn?t live anymore.","फिर फेस्तुसल कौ, महारॉज अग्रिप्पा और सब मैंसो, यौ मैंस कैं देखो, यैक बारि मिं सब यहूदियोंल यरुशलेम मिं और यां लै जोर-जोरल गुजारिश करिबेर मिधैं कौ, कि यौ मैंसक ज्यून रुण ऑब ठिक न्हैं।"
702,"To make dough for boys, girls, and those going to the country or abroad.","माव् बणाई जानी च्यालांक, चेलियांक, देश, परदेश जाईंयांक लिजी।"
703,"At night, reaching home, sleep came.",रात सिणक बघत मनु अपण घर पूजि गोय।
704,"A little later, Felix came to court with his wife Drusilla, a Jewess, called Paul, and heard about Jesus Christ.","यैक थ्वाड़ बखत बाद फेलिक्स आपणि स्यैणि द्रुसिल्ला जो यहूदी छी, उकैं आपण दगाड़ लिबेर दरबार मिं आ, और पौलुस कैं बुलवैबेर उनुल यीशु मसीक बारि मिं सुणौ।"
705,"But when the Holy Spirit comes to you, you?ll gain strength.","पर जब पवित्र आत्मा तुमुमिं आल, तब तुम सामर्थ पाला।"
706,Panch agreed to his words.,पंच उनिकि बात लै मान मय।
707,"In the hills, White Wash meant committee, and this was done somehow.",पहाड़न् में व्हाइट वास मतलब कमेट भै और यो क्वे ले करि दिनेर भ्यो।
708,Why didn?t you keep any blessings for me?,किलै तुमुल म्यर लिजी क्वे आशीश नि धरि रॉखी?
709,Bring the milking buffalo!,ला ख्वल भैंस।
710,I never sat comfortably or wrote.,"मैंल कभै आसन जमै बेर तो, नैं ल्यख।"
711,"In school, since bills weren?t paid on time, the electricity department cut the power connection.",विद्यालय में बिल अदायगी समय पर न हुना ले बिजली कनेक्शन ले बिजली विभाग ले काटियो भ्यो।
712,Priyanka started hugging everyone.,प्रियंका सबन कैं पिठ्या लगूण लागि भै।
713,"He took control over all sea creatures, sky birds, and all domestic and wild animals.","उ समुद्रक जीवों, अगाशक सॉर प्वथीलों, और सब घरेलू और जंग्ली जानवरों मिं आपण अधिकार करल।"
714,"As he explained the meaning to us, that?s how it is.","जस वील हमुकैं स्वीणक अर्थ बताछी, उसै हौ।"
715,I?ve heard everything.,मैल सबै सुणि है।
716,I cut it near his ear.,मैंल वीक ख्वर लै कटोरौ।
717,"That?s why, brothers, take courage, because I?m confident that as his angel told me, it?ll happen.","यैक लिजी, भाइयो, तुम हिम्मत धरो, किलैकि मिकैं भरौस छु कि जस उनर दूतल मिधैं कौ, उं उस्सै करॉल।"
718,Even a bite of food couldn?t go down the old man?s throat without chewing.,खाँणि कां खाँछी बुड़ बाड़ि एक गास ले खाप् नि हाल् हो।
719,"The next day, around noon, Damu reached Delhi, went home, bathed, and went straight to the orphanage.","दमु दुहा्र दिन करीब दिन कै बार बजि दिल्ली पुजि जाँ, अपण ड्यार में जै बेर नाण-धूण करुँ और सिद्द अनाथालय जाँ।"
720,"Since then, the stain of forced coolie labor was erased from the hill people?s foreheads.",तब बटी पहाड़ा लोगना ख्वार माथ लागी कुली बेगार करनक कलंक मिटो।
721,"Then he heard that voice again, Don?t call unclean what God has purified.","फिर वील यौ अवाज सुणी, जकैं परमेश्वरल शुद्ध ठैरै रॉखौ, उकैं तु अशुद्ध नि कौ।"
722,"Reaching the temple, they worshipped and took God Ji?s blessings.",मन्दिर पुजि बेर द्विनूल पुज करी और भगवान ज्यू क आशीर्वाद ले।
723,We should be proud of our Kumaoni language.,हमूकैं आपणि कुमाउँनी भाषा पर गर्व हुण चैं।
724,"We?ll only understand Kumaoni when you call it a sharp language, that?s it.","हम तो तब जांलै कुमाउँनी कें तीलै धारौ बोला समझनेर भयां, बस।"
725,"Whatever you do, do it well.",जतु करछा भल करौ।
726,"Yes, eat, why didn?t you eat today?","होय खै है, किलै तुमूल नि खायो आइ?"
727,"The key is with me too; I?ll go, Mohana.",चाबि लै म्यरै पास छ मैं हिट्नु मोहना।
728,I fully understood your trouble.,मैं तुमरी यौ मुसीबत कें भलिकै समझ गयूँ।
729,Guru Kumar Shishu Kumbh? that saying could apply to him too.,गुरू कुमार शिशु कुंभ… वा्ल कहावत लै उनर लिजी कै सकनू।
730,What do new writers and creators say?,नवोदित लेखक व रचनाकारों हूं कि कूंण चाला?
731,"In the February 2020 issue of Paharu, the names of articles and compositions are like this.",पहरू फरवरी २०२० अंक में छपी लेखवारोंक नौं व रचनाओं नौं य परकार छु।
732,"I didn?t forbid him, saying that the daughter-in-law shouldn?t go out barefoot and get her ears pierced.","मीन क के नै ब्बारी, कूण लागी रयू कि ब्वारी़ ख्यात पात झन जये खुट में कान बुड़ाल।"
733,"Radha finished cooking and came; by then, Devaki had eaten three rotis and couldn?t eat one, so she put it in a plastic bag and slept with it under her pillow.","राधाक चुल-भान कर बेर औण तक देबकी ल तीन र्वाट खै हाल और एक र्वट जो वील नि खै सक, उकैं एक पलास्टिकक थैल में धरि बेर आपुण सिराण दबै बेर से गइ।"
734,Some people keep old weapons and armor in trunks and spears on this occasion.,कुछ लोग ये मौक पर पुराण खेड़ी-खाड़ी ज्वात झ्वाल में धरि राखनी और उनरि समाव अस्त्र-शस्त्रोंक चारी करनी।
735,Because all the people in my village know you?re a hardworking and well-mannered wise woman.,किलैकि म्यर गौंक सब मैंस जाणनी कि तु एक मेहनती और भलि चाल-चलन वालि स्यैणि छै।
736,"In between, she came and nursed him, putting him to sleep near her chest.",बीच में चनि ऐबेर उकं दूद दिगे और वीक खोर पलाश बेर प्यार कर गे।
737,The western wall?s idol is called the midday sun.,पश्चिम दिशाक दीवार क मूर्ति कैं पुंसन या मध्यान्ह सूर्य कूनी।
738,"I mean, if there?s an elder at your home, he?d have said it with a serious face.","म्यर मतलब छु कि त्यर घरपन क्वे बुड़ बाड़ि रै राय हुन्याल, त कैं ऊं गैल गंभीर मुख मंडव बणै बेर कौ मैंल।"
739,What?s the use of eating this roti now?,ऐल र्वट खै बै क्या फैद।
740,What in our dialect doesn?t feel good?,आपणि बोलि-भा्ष में को चीज भलि न लागनि?
741,"Coming from Almora, it played a key role in developing Kumaoni language and literature, and even now it plays a special role in Kumaoni language and literature.",अल्मोड़ा बै निकलणी कुमाउनी भाषा व साहित्य विकास में यैक महत्वपूर्ण भूमिका रई छु व ऐलक बखत में य कुमाउनी भाषा व साहित्य में खास भूमिका निभूनै।
742,"What else do I have besides dying for me, tell me?",म्या्र लिजी मरण है अलावा और क्ये छी बताओ?
743,"Back then, some cowherds grazed cows and goats; they assigned me this task, and I?ll drink water.","उति पन क्वे ग्वाव गोरू बकार चरूनेर भै, उनन धैं कै य कुथवकि फाम करि दिया, मैं पाणि पि औनू।"
744,"Finally, the doctor said, Take Mango home now; giving him more medicine won?t help.","आंखिरि में डॉक्टरुल कौय, अब आम् कें घर लि जाओ, इनुकें भौत दवाई दिण से क्वे फैद निछ।"
745,"Later, Mango?s mother slapped me twice.",बाद में आमैलि ले मैं कैं द्वि थाप् लगैयी।
746,I?d explain it to him.,मैंल उकें समझूण चा।
747,"He can?t watch TV now, only an hour at night and an hour during the wedding on Sundays, that?s the rule.",ऐल उ टीवी लै नि देख सकन सिर्फ ऐंतवाराक दिन एक घंट रत्तै और एक घंट ब्याल हुं देखणौक नियम छु।
748,I whispered in his ear.,मैंल वीक कान थें फुसफुसाट करि बेर कौ।
749,"At night, waking up, finishing daily housework, I go to the office and start my work there.",रात्ति पर उठि बेर अपण रोजा्क हिसाबैल घरक काम-काज निपटै बेर अपण आफिस जाँ और वाँ जैबेर अपण काम काज शुरू कर द्यूँ।
750,Then I felt it necessary to send Epaphroditus back to you.,फिर लै मिकैं यौ जरूड़ी लागणौ कि मी इपाफ्रुदीत कैं तुमर पास वापिस भेजुं।
751,The time for cows to come has passed.,गोरूंक औणक टैम है गो।
752,Everyone wore dhotis and sat in the mud.,सबनैलि धोति पैरि और भीं में बैठ ग्या।
753,This is the first Kumaoni dictionary.,यो कुमाउनीक पैंल कोश छु।
754,Then my hills are amazing.,फिर लै म्योर पहाड़ गजब छू।
755,"Travel by rail, road, and air was all stopped.","आवागमन रेल, रोड, वायुयान सब बंद कर दी।"
756,The wife isn?t living with you now.,घरवाइ ल त्यर दगड़ रूण छु नैं।
757,"Rawat Ji currently lives in Almora, skillfully editing the monthly Kumaoni magazine Paharu, creating love for our dialect, language, and culture in all our hearts with unforgettable contributions.","रावत ज्यू वर्तमान में अल्माड़ में रौनी और वैं बटी कुमाउनी मासिक पत्रिका पहरू क कुशल संपादन करिबेर हम सबना मन में आ्पणि बोलि-भाषा, संस्कृति क प्रति लौ पैद करण में अविस्मरणीय योगदान दिण लाग रयी।"
758,"Oh disciple, in this corona time, what pains me most is that poets have sprouted in every house.","हे शिष्य यो करोनाकाल में जो चीज सबसे ज्यादा दुखी करनै उ छ, घर घर कुडि कुडि कवि पैद हैगेईन।"
759,"When he saw his brothers, he recognized them, but they didn?t recognize him.","जब वील आपण भैनों कैं देखौ, तब उनुकैं पछ्‌याण ले पर उनुल नि पछ्‌याण।"
760,"But God knows that when you eat that tree?s fruit, you?ll know good and evil and become like God.","लेकिन परमेश्वर जाणुं कि जब तुम उ बोटक फल खाला, तब नक और भलक बारि मिं जाणिबेर तुम परमेश्वरक समान है जाला।"
761,God didn?t take form in anyone?s body or shape.,भगवान कैक बदन या शरीर में अवतार न ल्हिन।
762,"It?s my good fortune that in my student life, I got knowledge from many excellent teachers at once.",यो म्यर सौभाग्य छी कि मैकें विद्यार्थी जीवन में एक हैबेर एक भौत भाल-भाल शिक्षकों बै ज्ञान मिलौ।
763,"Blessed are you who are poor, because God?s kingdom is yours.","धन्य छा तुम जो गरीब छा, किलैकि परमेश्वरक राज तुमरै छु।"
764,"Take curd, milk, ghee!","दै, दूद, घ्यू मांग ल्हे!"
765,"God?s mercy was on David, so he prayed that I might build a temple for God.","दाउद मिं परमेश्वरक दया छी, यैक लिजी वील बिनती करी, कि मी परमेश्वरक लिजी एक भवन बणै सकूं।"
766,"The one who doesn?t move aside, should he take his sister out or leave her heart; is this right?",जैक पास जै जात नि हलि उनुकें उनर नन भ्यार जै क्या खेड़ि दिल क्या यौ ठिक छै।
767,"Jesus explained with an example, You don?t patch old cloth with new cloth because the new shrinks and tears the old even more.","यीशु यैक बारि मिं उधारण दिबेर समझूंनी, पुरॉण कप्ड़ मिं नई कप्ड़क टॉल नि हालन किलैकि नई कप्ड़ ध्वेणक बाद छ्‌वट है जां, जैल पुरॉण कप्ड़ और जादे फाटि जां।"
768,"Then Jesus took the kids in his lap, blessed them one by one with his hands on their heads, saying, May God always do you good.","फिर यीशुल नॉनतिनों कैं आपण काखि मिं धरौ और एक-एक कैबेर उनर ख्वार मिं हात धरिबेर उनुकैं आशिर्वाद दिबेर कौ, परमेश्वर हमेशा तुमर भल करनै रवो।"
769,He didn?t know anything about his family?s death.,उकैं आपण बैगक मौतक बारि मिं के पत्त नि छी।
770,"As long as I go far, my eyes are only on Koshi.",मैं जतुक दूर जाणयूं मेरि नजर बस कौशि पर छ।
771,"In those days, books sold a lot in the fairs.",उन दिनों म्यालों में किताब लै खूब बेची जाँछी।
772,He drank a glass of water and lay on his cot.,वील एक गिलास पाणि पे और अपणि चारपाइ में लम्त हैगो।
773,Mother smeared butter on a roti one evening.,इज रवट चुपड़ी बे एक ब्याल में साग दिनै।
774,"Now how?s Mohan?s job going; who had to recommend him, and how did Mohan rise from work-charge to senior administrative officer?","आब् मोहन का नौकरी कसी लगै, कै-कैं थै सिफारिश करण पड़ी और कसिक मोहन का ले वर्कचार्जी बटी वरिष्ठ प्रशासनिक अधिकारी जाँणै तरक्की करी।"
775,"You brought my life here, thank you.","तुमूल मेरि जिबन्ती यां तक पुजै, तुमर धन्यवाद।"
776,"When their people saw that Paul?s words made a lame man walk well, they said among themselves, These people have come among us as gods!","जब वांक मैंसोंल देखौ कि पौलुसक कूण पर उ लुल मैंस भल है गो, तब उं सब आपस मिं कूण लागीं कि यौं मैंसॉक रूप मिं द्याप्त हमर बीच मिं ऐ रईं!"
777,Shri Jagannathpuri temple is an unmatched example of North Indian Kalinga temple architecture.,श्री जगन्नाथपुरी मंदिर उत्तर भारतीय कलिंग मंदिर स्थापत्य कलाक अप्रतिम नमूना छु।
778,"His gait was initially a bit off, but now it?s like a buffalo?s stride.","चाल उ है पैंली कतुककी हो, उभत तो दूण भैंसकि चाल आई भइ।"
779,My grandfather married me off fifteen years ago.,म्यर बाज्युल म्यर ब्या पंदर सालम करि ह्या छि।
780,"I kept writing, writing, continuously for seven hours.","मैं लेखनै रई, लेखनै रई, लगातार सात घंट तक।"
781,I tried to find out and later learned that my eldest uncle had some serious illness.,मैल पत्त लगूणैक कोशिश करी तो पछा मालूम भौ कि म्योर ठुल ज्याठज्यू कं कोई भारि बीमारी छु।
782,"After sixteen weeks of training at the Intelligent School and Center in Pune, I was posted to the 19th Division Intelligence Section in Srinagar.",इंटलीजेंट स्कूल और सेंटर पूना में 16 हप्तकि ट्रेनिंग बाद मेरी पोस्टिंग 19 डिवीजन इंटलीजेंट सेक्शन श्रीनगर में भैछ।
783,He ordered that whoever can cut the rope should strike with a spade first and go across the sea.,"वील हुकुम दे कि जो बौं काटि सकनी, उं पैली फाव मारिबेर समुद्रक फेर मिं ऐ जाओ।"
784,"Chandal said, Father, you didn?t understand this; it?s been going on like this for ages.","चनदाल कौय, बुबु तुम नि समझला यौ बात, अज्याल यसै चलु।"
785,"But in the wasteland, what were you planting to keep it thriving, Damu replied.","बाँकि बाड़ख्वाड़ा में तुम क्येन क्ये बूनै रया ताकि आबाद रौल, दमुवैल जबाब दे।"
786,"Then Jesus said to them, People don?t light a lamp to put it under a cot or cover it with something but light it to place it high so everyone inside gets light.","फिर यीशुल उनुधैं कौ, मैंस यैक लिजी बत्ती नि जलून कि उकैं चारपाईक ताव धरो या क्वे लै भानल ढक दियो, बल्किन यैक लिजी जलूंनी कि उकैं उंच्च जॉग मिं धरो जैल सॉर भितेर मिं उज्याव है जाओ।"
787,I explained the reason for staying to them.,रूणक कारण पुछि बेर उनूकें समझा।
788,Science brought destruction too.,विज्ञानल विनाश लै हैजाॅ।
789,"When I came to Pithoragarh, I really liked their Kumaoni dialect.",यैक वील जब मैं पिथौरागढ़ आयूं त मैंकें वांकि कुमाउनी बोलि भौते अणकसी लागी।
790,"Then the angel said to them, Don?t be afraid; I know you?re looking for Jesus, who was crucified.","तब स्वर्गदूतल उनुधैं कौ, डरो झन, मी जाणनू कि तुम यीशु कैं चाणाछा जनुकैं सूली मिं चढ़ै रॉखछी।"
791,I stayed lost in that joy alone.,बस मैं यौई खुशि में बौया जै बनि रहुनु।
792,"The next day, with twinkling lights, everyone reached home.",दुहर दिन जुगमुग परि सबै घर पूजि गय।
793,Damu swept and started making tea.,रस्या साफ करिबेर दमु चहा बणूण चाँ।
794,"But seeing him, they all got scared and didn?t believe he was one of their faithful too.","लेकिन उं सब उकैं देखिबेर डरणाछी, और उनुकैं विश्वास नि हुणौछी कि उ लै उनरै चारि एक विश्वासी छु।"
795,"That?s how it should be done, Damu replied.",यसै करनू इजा दमुवैल जवाब दे।
796,"In Badamuni, tender bamboo is used; in grazing, goats are kept too.",बाड़ामुणी कोमल काकड़ो छगोठन में गोरू लैण बाखड़ो छ।
797,"And that?s why my servant Eliezer will be my heir, because you didn?t give me a son.","और यौ कारणल म्यर नौकर एलीएजर म्यर वारिस ह्‌वल, किलैकि त्वील मिकैं च्यल नि दी रॉख।"
798,Then he brought a coin.,तब उं एक सिक्क ल्याईं।
799,My suspicion was right.,म्यर शक सही छी।
800,It was just a month?s matter.,बस महैंण भरिक बात हई।
801,Then that forced labor wasn?t done cruelly.,तब य बेगार क्रूर रूपल नि कराई जांछी।
802,"A few days later, the old lady changed her disguise and reached the far jungle near him today, sitting as a beggar.",थ्वाड़ दिनन बाद बुड़ि आपंण् भेष बदैइ बेर आजि इनरुवैकि पास जंगव पुजि गेइ और इनरुथें बेर मांगंण बैठि।
803,The childishness inside us that was stirring had to be expressed.,"हमर आ्पण भितरक क्वा्ठपन जो कलमलाट लागि रौ, वीकी अभिव्यक्ति तो भै।"
804,The sister-in-law collapsed and fainted.,भौजी त पछेटि बेर बिहोश है गैथि।
805,The mute girl?s weakness became known too.,लाटकि स्यैणिकं लै वीकि कमज़ोरि पत्त भई।
806,"After eating, it was fine, then sleep struck my eyes again.",खांण लै खायी गोय फिर लै खीम दा आंख फड़कन पारि होय।
807,The sister-in-law laughed and laughed.,भागुलिल हँसनै-हँसनै कौ।
808,"In this etymology dictionary, Ruwali Ji gave a detailed 174-page introduction.",ये व्युत्पत्ति कोश में रुवाली ज्यूल 174 पृष्ठनकि विस्तृत भूमिका दी राखी।
809,When will you pick up the phone!,कदबै उठाछीं फोन!
810,"Then he said too, This will be a source of pride for the Israelites and light for other nations.","तब वील यौ लै कौ, यौ भौ इस्रायलियोंक लिजी गर्बक कारण और अन्य जातियोंक लिजी उज्याव ह्‌वल।"
811,Boy! You?ll remember when you came home that day and spent a night talking at our place.,च्यला! तकणि याद हुनेलि जब तु घर अै रछिये उदिन एक रात हमा्र घर मणि पौणूल रत काटी।
812,My Sauras is in Syraghat village.,म्यर सौरास स्यरघाटक गौं में छ।
813,"Hearing commotion, neighbors gathered too, filed a police report, held vigils, asked around, but nothing was found.","घबराई घर वालूंल पुलिस में रिपोट लिखै, जागर लगै, पूछ करै के पत्त नी चल।"
814,Everything was fine at night.,राति सब ठिक ठाक है गोय।
815,"When Khaldiyau?s money dwindled and no one lent him more, then you took up the buffalo?s stride too.","जब खल्दियौन पैंस निमड़ि गा्य और कैल कर्ज नि दी, तब त्वैल दूण भैंसकि चाल आई कौ।"
816,"Dhanu, who jumped off the cliff, stays caught there today.",धनु जैक भर्वसु परि कुदि रौं छि आज उ धरियै धरि रैगो।
817,"If Sisu is considered a miraculous herb, it?s no exaggeration; it can cure any kind of pain?back pain, waist pain, or whatever.","अगर सिसूण कैं एक चमत्कारी जड़ी-बूटी कई जाओ तो कोई अतिशयोक्ति नि हो कोई लै प्रकारकि पीड़ हो, पूठ में पीड़ हो या फिर कमर पीड़ हो सिसूण दूर कर सकौं।"
818,"Mother asked, but she didn?t say anything?no mother, no, no, just kept saying that.","इजैलि पुछौ ले मगर उनैलि के नि कौ ना बोज्यू, के न, के न करनै रिया।"
819,That Swadhin Club became an all-around club.,ऊ स्वाधीन क्लब सर्वांगीण क्लब भै।
820,So don?t delay; take an hour and watch this movie somehow?it?ll feel really good.,"तो देर झन करिया और एक घंट निकाल बेर कसी लै यौ पिक्चर जरूर देखिया, भौत भल लागौल।"
821,"But our studying stopped, and then we had to start our livelihood journey with hard work.",पर हमरि पढ़ाई लिखाई छुट गे और फिर हमन कं आपण जीवन यापनैक यात्रा मेहनतैल आफि शुरु करण पड़ी।
822,This language transcends country and borders.,"यो भाषा, देश, सीमा हैबेर मली छु।"
823,Is everyone home today?,आज चैन हैगोछौ इनूकणि घर?
824,"Whether or not ministers are involved, if they took him away to avoid greater harm, it didn?t happen.","हो नि हो इमें मंत्री क हात तो न्हैंत, भौ कै के नुकसान पुजौंणक लिजी मंत्री उकैं कैं ल्हि जै तो नि गोय्।"
825,Because God worked in your hearts and gave you the ability to think and act according to his will.,किलैकि परमेश्वरै तुमर मनों मिं काम करिबेर तुमुकैं आपण मंशाक अनुसार सोचण और करण दिंनी।
826,"If my wife isn?t with me, a man could visit Moscow, Kabul, and Lahore in a day and return to Delhi for the wedding.","अगर अर्द्धागिनी दगाण नी हो तो आदिम एक दिन में मास्को, काबुल और लाहौर घुमिबेर ब्याव हु दिल्ली ऐ जा।"
827,"Then Jesus said to them, Don?t you understand even now?","तब यीशुल उनुधैं कौ, तुम आइ लै नि समझा?"
828,"You stand up quick; they came inside, and you asked yourself where they are, Damu?s mother said.","तु झट ठा्ड़ हौ, यूँ अै गयीं भितेर तु अफि पुछलैं यनूं हैं, दमुवेकि इजैल कौ।"
829,"After eating and drinking, Bishan joked with his brother-in-law, Friend Bhina! Last Diwali, your ears went like this; move ahead now.","खै-पी बेर बिशनल भिन दगै मजाक करि, यार भिना! अली बेरै दिवालि तौ तुमार ख्वार यसी गै, अघिल कै जि हूं।"
830,"In a bit, Taradatt?s boy brought about half a liter of milk in a pot.",जरा देर में तारदत्तक च्यौल एक लोटी में करीब पौ भरि दूध दिजाँ।
831,"Your relationship is with the Holy Spirit, and you show mercy and love to others.",तुमर रिश्त पवित्र-आत्माक दगाड़ छु और तुम दुसरों मिं दया और उनुकैं प्रेम करछा।
