src,tgt,tgt_augmented
"Under pressure, since there?s no facility to mark below oneself, I saw Ruwali Ji very troubled for a long time.",आ्म क तलि बै अंकित त्यर्छ रेखड़कि सुविधा नि हुणाक कारण रुवाली ज्यू कैं मैंल कतुक बखत भौत परेशान देखौ।,रुवाली ज्यू क तलि बै अंकित त्यर्छ रेखड़कि सुविधा नि हुणाक कारण रुवाली ज्यू कैं मैंल कतुक बखत भौत परेशान देखौ। रुवाली ज्यू कैं मैंल कतुक बखत भौत परेशान देखौ।
Something like doubt crept into Chanu?s mind.,चनुवक मन में कुछ स्योव जै पड़ि गे।,में कुछ स्योव
You all kept trusting in the Lord.,तुम सब प्रभु मिं इसिकै भरौस करनै रया।,प्रभु मिं इसिकै भरौस करनै रया।
"When he turned his chattering face toward me, I got so startled that my heart seemed to leap out.",वील जब आ्पण बकबकाण मुख मेरि तरफ रिटाय त मैं यसी झसकि पड़ी कि म्यर मन लै डाड़ मारण हुं हुण भैटो।,आ्पण बकबकाण मुख मेरि तरफ रिटाय त मैं यसी झसकि पड़ी कि म्यर मन लै डाड़ मारण हुं हुण भैटो।
This churning keeps going on in society.,यो समाज में मंथन उरातार चलि रौ।,में मंथन उरातार चलि रौ
"Some husbands, putting on ministerial airs on their pillows, were sleeping.",कयेक पति तो आपुण सिरान डंगरि खीम सिंग क मन्तरी बिभूत डालिबेर सितण लागि रईन।,पति तो आपुण सिरान डंगरि खीम सिंग क मन्तरी बिभूत डालिबेर सितण लागि रईन।
"You give the place, I?ll perform the prayer, grind some millet, bake two rotis from the flour, I?m home today, bake and eat later.","तू दी जगा, आरती क़र मि पिस्यू औली बे दुई रवाट पके द्यूँन आज मी घरे छिन भो बे पके खाये।","जगा, आरती क़र मि पिस्यू औली बे दुई रवाट पके द्यूँन आज मी घरे छिन भो बे पके खाये।"
"In pants or pajamas with legs rolled up, dust and dirt stuck to the ankles.","ताल आंग सुराव पैजामा या पैंट, खुटन में ज्वात म्वाट म्वाटधूल कच्यार लागी।",आ आ आ आ आ आ आ आ
Now there?s no time to think too much; go quickly and take advantage of this scheme.,अब ज्यादा सोच विचारौक टैम न्हैं बल फौरन जाऔ और यै स्कीमौका फैद उठै लीयौ।,सोच विचारौक टैम न्हैं बल फौरन जाऔ और यै स्कीमौका फैद उठै लीयौ।
All the village elders came to find good herbs for the girls.,सब गौं पना क स्यैणि भलि भट्यूणा लिजी आई भै।,आई भै पना क स्यैणि भलि भट्यूणा लिजी आई भै।
"When he spent all his wealth, a severe famine struck that country, and he became poor.","जब वील सब धन खर्च करि हैछी, तब उ देश मिं भारि अकाल पड़ौ और उ कंगाल है गोय।","जब उ देश मिं भारि सब धन खर्च करि हैछी, तब उ देश मिं भारि अकाल पड़ौ और उ कंगाल है गोय।"
"After BTC education from Pokharkhali Almora, I did an MA privately.",बीटीसी कि शिक्षा पोखरखाली अल्माड़ बटी ल्हिणा बाद एमए प्राईवेट करौ।,You are at:Home»शिक्षा»प्राइवेट-ए-इंजीनियरिंग»पोखरखाली अल्माड़ बटी ल्हिणा बाद एमए प्राईवेट करौ
"The disciples said to Jesus, People consider you to be John the Baptist, or Elijah, or some other prophet of God who came back to life from the dead.","शिष्योंल यीशु धैं कौ, मैंस तुमुकैं यहूना पाणिक बपतिस्मा दिणिवॉल, या एलियाह या क्वे दुसर परमेश्वरक दूत समझनी जो मरियों मिंबे ज्यून हई छन।","1 . . . . . . . . यीशु धैं कौ, मैंस तुमुकैं यहूना पाणिक बपतिस्मा दिणिवॉल, या एलियाह या क्वे दुसर परमेश्वरक दूत समझनी जो मरियों मिंबे ज्यून हई छन।"
"In the net, there were 153 big fish; even with so many fish, the net didn?t tear.","जाव मिं एक सौ तिरपन्न ठुल मॉछ छी, इदुक मॉछ उ जाव मिं हुण पर लै उ नि फाटि।",") इदुक मॉछ उ जाव मिं एक सौ तिरपन्न ठुल मॉछ छी, इदुक मॉछ उ जाव मिं हुण पर लै उ नि फाटि।"
Sometimes I think how much trouble those new daughters-in-law faced going to Russia.,कबखतै-कबखतै मैं सोचूँ कि उन् दिनान नयी ब्वारिन कैं रिस्यान जाँण् में कतु तकलीफ हुन्यैलि।,तै-कबखतै मैं सोचूँ कि उन् दिनान नयी ब्वारिन कैं रिस्यान जाँण् में कतु तकलीफ हुन्यैलि।
"For your two meals, don?t eat rotis here and there.",अपण द्वि टैमाक र्‌वाटाँ लिजि यथाँ-उथाँ धा्क नि खा।,टैमाक र् वाटाँ लिजि यथाँ-उथाँ धा्क नि खा।
"In our homes, Christmas is celebrated as a big day on December 25.",हमर घरों पन बड़ दिनक रुपमें मनुछी 25 दिसम्बर है।,पन बड़ दिनक रुपमें मनुछी 25 दिसम्बर है।
"And they begged Jesus, Don?t send us out of this region.",और उं यीशु धैं विनती करण भैटीं कि हमुकैं यौ प्रदेश बे भ्यार झन खेड़िया।,1 . . . . . . . यीशु धैं विनती करण भैटीं कि हमुकैं यौ प्रदेश बे भ्यार झन खेड़िया।
"She?s ten years younger than me, but what can I do? Respect for my uncle?s wife is necessary too; this honor, respect, back-breaking work, it?s written in my fate.","उ मि हबै दस साल छोटि लै है, पर क्या करू हमर काकिकु आदर लै लागूं उनि परि, यौ इज्जत, सम्मान हाड़ तोड़ि काम क्या हमरै भाग परि लेखि छै।","हबै दस साल छोटि लै है, पर क्या करू हमर काकिकु आदर लै लागूं उनि परि, यौ इज्जत, सम्मान हाड़ तोड़ि काम क्या हमरै भाग परि लेखि छै।"
Because Madhu?s grandfather is the eldest of all.,किलैकि मधुलिक बाज्यु सबु हबै ठुल हय।,लैकि मधुलिक बाज्यु सबु हबै ठुल हय।
And they grabbed her hand and lifted her up.,और उनुल वीक हात पकड़िबेर उकैं उठा।,वीक वीक हात पकड़िबेर उकैं उठा।
"Now Brother said, Friend, you should do yoga.","आब दाज्यू कूण लाग, यार योग तो करनयू।","यार कूण लाग, यार योग तो करनयू।"
"From Bhubaneswar, we reached the eastern coast at Konark temple.",भुवनेश्वर बटि हम पूर्वी समुद्र तट पर कोणार्क मंदिर पुजां।,पूर्वी समुद्र तट पर कोणार्क मंदिर
"In Dhuli Bela, mainly at the door, the front island is lit up, where the names of every living household member are lit.",धूली बेला में मुख्यत द्वाराक अघिल यम द्वीप जलूनी जमें घराक हर ज्यून सदस्याक नामौक बात जलूनी।,धूली बेला में मुख्यत द्वाराक अघिल यम द्वीप जलूनी जमें घराक हर ज्यून सदस्याक नामौक बात जलूनी।
Our nature is our future.,हमौर स्वभावै हमौर भविष्य छू।,हम स्वभावै हमौर भविष्य छू।
Maybe near Bhatraunjkhan there?s some village; I don?t remember its name now.,शायद भतरौंजखानाक आस-पास क्वे गों छ वीक नाम अैल मेंकें याद नि ऊँणय।,भ भ भ भ भ भ भ
To eat and drink whatever heals him quickly.,तकणि क्ये खवै-प्यवै बेर जल्दी ठीक करै दिन।,खवै-प्यवै बेर जल्दी ठीक करै दिन।
"Wearing a dhoti, he threw away the pajama and went wandering around the neighborhood.",धोति पैरि बेर पैजाम झ्वालन खिति दी और पड़ोस पन घुमण हुणि ल्है गा्य।,ोति पैरि बेर पैजाम झ्वालन खिति दी और पड़ोस पन घुमण हुणि ल्है गा्य।
"In every festival of ours, what needs to be done, how food should be made, and it?s decided according to the season.",हमार हर त्यौहार में के काम चैन कसिक खाण चै और मौसमाक अनुसार आपण खाण पिणैक बात कयी जैं।,त्यौहार में के काम चैन कसिक खाण चै और मौसमाक अनुसार आपण खाण पिणैक बात कयी जैं।
"The operation happened; Mother is healthy now, Mohan is happy too.","आप्रेसन है गोईं, इज अब्ब स्वस्थ है गई, मोहन ले खुसी छू।","इज अब्ब स्वस्थ है गोईं, इज अब्ब स्वस्थ है गई, मोहन ले खुसी छू।"
"In a turban, kurta, cap, and scarf, a red shawl was draped over the shoulder.","ध्वेति, कुर्त, ट्वेपि और कांनि में लाल सौल आरपीन् लगै बेर।",सौल आरपीन् लगै बेर।
"Reaching there, they praised Jesus.",वां पुजिबेर इनुल यीशुकि बढ़ाई करी।,अल्लाह की पुजिबेर इनुल यीशुकि बढ़ाई करी।
"An hour later, the boy brought a bundle of wood and came back.",एक घंट बाद च्यल लाकड़ाक गढ़ाव लिह बेर ऐ जा।,बाद एक एक एक एक एक एक एक एक एक एक एक बेर ऐ जा।
"On August 22, 2010, she passed away.",२२ अगस्त २०१० हूं ऊं गुजर गई।,२०१० हूं ऊं गुजर गई।
"Fine, Mother!",ठीक छ इजा!,You're here: http://www.youtube.com/watch?v=iWjYjYjYjYjYjYgA
Devaki?s aunt told him to signal that she?d bake two breads on the ridge for him.,देबकी बुआक भैटो कूणा क इशारैल ऊँ उतकें धारि द्वि म्वाड़ाँ में भै जानी।,ऊँ बुआक भैटो कूणा क इशारैल ऊँ उतकें धारि द्वि म्वाड़ाँ में भै जानी।
He found a water ship for the subedar going to Italy and seated us in it.,वां सुबदार कैं एक पाणिक जहाज मिलौ जो इटली जाणी छी और वील हमुकैं उमिं बैठा।,बदार कैं एक पाणिक जहाज मिलौ जो इटली जाणी छी और वील हमुकैं उमिं बैठा।
Oh! What vegetable is this? I?ve never eaten it.,हाय! यो के साग भौ य मील त कब्भै नि खाई।,. . . . . . यो! यो के साग भौ य मील त
"He kept grumbling, muttering something or other.","ऊ रीसल कामन-कामनै, कौन न कौन बकते जनै।","कामन-कामनै, कौन न कौन बकते जनै।"
"Indeed, by separating ourselves or committing suicide, we?ve punished ourselves.",बेसक अपण आपूँ कै समाज है अलग करिबेर या आत्महत्या करिबेर अपण आपूँ कें सजा दि दिछी।,अपण आपूँ कै समाज है अलग करिबेर या आत्महत्या करिबेर अपण आपूँ कें सजा दि दिछी।
"In the upper wasteland, when its fruit is plentiful, it gives less to the peach tree and scatters more.","मल्लप उज्याड़ यस कि जतूक फल छी वीक आदू लै नि छोड़ बोट पर खाय तो कम, बिखेरि जादे दी।",उज उज उज उज उज उज उज
I?ll quit the job.,मैं नौकरी छोड़ द्युल।,"द्युल, द्युल, द्युल, द्युल, द्युल।"
"He?ll be a holy boy, and you?ll name him Jesus.",उ एक पवित्र च्यल ह्‌वल और तु उनर नाम यीशु धरिये।,पवित्र च्यल ह् वल और तु उनर नाम यीशु धरिये।
"Whatever good depiction we can do of our society and culture in our dialect, we can?t do in another dialect, because the essence and knowledge of our dialect come to us from childhood, while another language has to be learned formally and can?t convey that.","आपण समाज-संस्कृतिक जतुक भल चित्रण हम आपणि बोलि-भा्ष में करि सकनू, उतुक दुसरि बोलि-भा्ष में न कर सकना, किलैकी आपणि बोेलि-भा्षकि सार-पतार और जानकारी हमुकैं बचपनै बै ऐ जैं, जबकि दुसरि भाषा कैं औपचारिक रूप में सिखण पड़ौं और वीमें उ बात न ऐ सकनि।",-संस्कृतिक जतुक भल चित्रण
There should be no inferiority complex.,हीन भावना न हुणी चैन।,. . . . . भावना न हुणी चैन।
"Two people sat on chairs twice, chatting.","द्वी झणि नै-ध्वे बेर कुर्सी में भै रयीं, बातचीत करणयीं।","द्वी झणि नै-ध्वे बेर कुर्सी में भै रयीं, बातचीत करणयीं।"
"They said to Joseph, No, no, master, we are your servants and came here only to buy grain.","उनुल यूसुफ धैं कौ, नै, नै, मालिक, हम तुमर दास छूं और यां सिरफ अनाज खरीदणक लिजी ऐ रयूं।","सुफ धैं कौ, नै, नै, नै, नै, नै, मालिक, हम तुमर दास छूं और यां सिरफ अनाज खरीदणक लिजी ऐ रयूं।"
Only then did I pull you out.,तबै मैल तुमुहें निकौय।,» कविता » मैल तुमुहें निकौय।
"Whatever was mute reached there, with a whoosh it flew off like a bird.","जैस्क्ये लाट उत्ती पुज छौ, चाड़ भुर्र करि बेर उड़ ग्या य।","स्क्ये लाट उत्ती पुज छौ, चाड़ भुर्र करि बेर उड़ ग्या य।"
"In that era, when there were no means of travel, livelihoods were scarce, terrible famines struck the plains, sometimes cholera, sometimes plague, sometimes smallpox epidemics spread.","उ जमान में जब ऊण जाणाक साधन नि छिया, आजीविकाक साधन लै बहुत कम छिया, मैदानी भागन में भयंकर अकाल पड़न छिया, कभैं हैज, कभैं प्लेग, कभैं चेचक जसि महामारी फैलन छी।","भारत में जब ऊण जाणाक साधन नि छिया, आजीविकाक साधन लै बहुत कम छिया, मैदानी भागन में भयंकर अकाल पड़न छिया, कभैं हैज, कभैं प्लेग, कभैं चेचक जसि महामारी फैलन छी।"
"Slowly preparing, in 1989, a twenty-four-kund Gayatri yajna was completed.",शनै-शनै तैयारी करि बेर वर्ष 1989 में एक चैबीस कुंडीय गायत्री यज्ञ सम्पन्न करवाछ।,1989 में एक चैबीस कुंडीय गायत्री यज्ञ सम्पन्न करवाछ।
"After training at Shantikunj Haridwar, I quit all vices?smoking, drinking, chewing paan and gutka.","शांतिकुंज हरिद्वार को प्रशिक्षण लीई बाद मैंले धुम्रपान, मद्यपान, पान-गुटका आदि समस्त व्यसनन है मुक्ति प्राप्ति करि छी।","हरिद्वार को प्रशिक्षण लीई बाद मैंले धुम्रपान, मद्यपान, पान-गुटका आदि समस्त व्यसनन है मुक्ति प्राप्ति करि छी।"
It feels like we are God?s shadow.,उभत यस लागूँ कि हम भगवानै छाँ।,यस लागूँ कि हम भगवानै छाँ।
This spark of light will one day surely bring our Kumaoni and Garhwali languages into the Eighth Schedule of the Constitution.,यौ छिलुक क उज्याव ल एक न एक दिन हमरि कुमाउनी और गढ़वाली भाषा संविधान क आठूं अनुसूची में जरूर पुजलि।,छिलुक क उज्याव ल एक न एक दिन हमरि कुमाउनी और गढ़वाली भाषा संविधान क आठूं अनुसूची में जरूर पुजलि।
"Today, the whole family is at home because, after many years, Devi?s worship is happening in our house.","आज सारै परिवार घर कें मौजूद छा, किलैकि भौत सालुक बाद हमर घर में देवि कि पुजै है रै।","रै परिवार घर कें मौजूद छा, किलैकि भौत सालुक बाद हमर घर में देवि कि पुजै है रै।"
"If I didn?t see you at your party, what would Kyapp say?",त्वेकि पार्टी में नि देखाल तो क्याप क्याप कूण कैठाल।,में नि देखाल तो क्याप क्याप क्याप क्याप क्याप कूण कैठाल।
"At that time, a man named Simon of Cyrene was coming from Jerusalem on that road.",उ बखत कुरेनी शिमोन नामक एक मैंस यरुशलेम जैबेर उ बॉट उणौछी।,"I'm sorry, I don't know about you, कुरेनी शिमोन नामक एक मैंस"
"Joseph asked about their family after, Are your parents doing well?","यूसुफल उनेरि घरकि खबर बाद पुछी, कि तुमर बौज्यू कॉस है रईं?","उनेरि घरकि खबर बाद पुछी, कि तुमर बौज्यू कॉस है रईं?"
"Blessed King Bharati Chand, under whose canopy all of Kumaon was prosperous.","धन्य राजा भारतीचंद, जनरि छत्रछाया में पुर कुमू खुशहाल छ।","भारतीचंद, जनरि छत्रछाया में पुर कुमू खुशहाल छ।"
"Damu saw his mother from afar on the ridge, but as the turn came, his mother disappeared.",दूर लक दमु अपेणि मै कैं चैरौछी पर मोड़ आते ही वीकि इज अदेखाँ हैग्ये।,इज दमु अपेणि मै कैं चैरौछी पर मोड़ आते ही वीकि इज अदेखाँ हैग्ये।
But those who are ready to give their lives for me will receive eternal life.,"लेकिन जो म्यर लिजी आपण प्राण कैं दिणा्क लिजी तैय्यार ह्‌वल, उनुकैं अनंत जीवन मिलल।","म्यर लिजी आपण प्राण कैं दिणा्क लिजी तैय्यार ह् वल, उनुकैं अनंत जीवन मिलल।"
"Nowadays in our society, there?s a lot of show-off among the elders, but the heart remains small like kids.","आज कल हमर समाज में ठुल देखड़ में बहतै छै, पर मन, मन नान ननाक जस छू।","हमर समाज में ठुल देखड़ में बहतै छै, पर मन, मन नान ननाक जस छू।"
"Here, you wear this; your clothes are wet, go to Russia with these on and change them there.","लै तु यनूकें पैहन लै, त्या्र लुकुड़ गिल है रयीं जा यनूकें बदयि ल्या रस्या में जैबेर, जा जा बदयि ल्या।","लै तु यनूकें पैहन लै, त्या्र लुकुड़ गिल है रयीं जा यनूकें बदयि ल्या रस्या में जैबेर, जा जा बदयि ल्या।"
It became hard for him to breathe too.,उकें साँस लिण लै मुसकिल हई है।,साँस लिण लै मुसकिल हई है।
"Bar Ji got excited on the sard and said, Oh, give Tanar double.","बर ज्यू सार्ड पर खुश ह्वै बेर कौनी, अरे दी दियो तनार डबल।","अरे दी दियो सार्ड पर खुश ह्वै बेर कौनी, अरे दी दियो तनार डबल"
"You don?t know this island?s matter; if its people don?t agree, it?ll cause a lot of bloodshed.",तुम यौ द्यप्तकि बात नि जाणना जब येकि मनकि नि हनि यौ भौत मार काट करि द्युं।,द्यप्तकि बात नि जाणना जब येकि मनकि नि हनि यौ भौत मार काट करि द्युं।
"No, Mother, I won?t marry now; I?ll think about earning money and double-talk after getting a job.","ना इजा अब अल्लै ब्या-ह्या क्ये नि करन मैं, मकणि नौकरी करण छ मणि डबल-टा्क कमूल वीक बाद सोचण हौल।","अब अल्लै ब्या-ह्या क्ये नि करन मैं, मकणि करण छ मणि डबल-टा्क कमूल वीक बाद सोचण हौल।"
Mithila Aipan is called that; they combined Madhubani and Aipan art.,मिथिला ऐपण नामल ऊं मधुबनी और ऐपण कला कैं एक दगाड़ बणूनी।,मिथ मिथ मिथ मिथ मिथ मिथ मिथ मिथ
How and when do we feel satisfied?,कैसी और कभत आपण मनै जै करु?,» प्रश्नोत्तरी » क्यों और कभत आपण मनै जै करु?
"They replied, Yes, we can bear it.","उनुल जबाब दे, होई, हम सह सकनू।","जब जब जब जब दे, होई, हम सह सकनू।"
"In their hearts, everything turned out according to their wishes.",अपण मनल उनुल सब कुछ उनर मनक मुताबिक कई हौय।,ल उनुल सब कुछ उनुल सब कुछ उनर मनक मुताबिक कई हौय।
"Walking along, her wedding happened; in the forest, she started hearing wild animals? roars.","हिटते-हिटते वीकें ब्याव है गेयि, बंण में वीकें खूंखार जानवरनैकि आवाज सुणींन लागि।","ते-हिटते वीकें ब्याव है गेयि, बंण में वीकें खूंखार जानवरनैकि आवाज सुणींन लागि।"
"In English, it?s called nettle, and scientists know it as ?Urtica dioica.?",अंग्रेजी में यथैं नेटल (छंजजसम) कई जां और वैज्ञानिक लोग यकैं 'आर्टिका डाईओका' तौर पर जाणनी।,यथैं नेटल (छंजजसम) कई जां और वैज्ञानिक लोग यकैं 'आर्टिका डाईओका' तौर पर जाणनी।
Because they kept him safe and sound!,किलैकि उनुल उकैं ठिक-ठाक वापिस पै रॉखौ!,लैकि उनुल उकैं ठिक-ठाक वापिस पै रॉखौ!
"For three days, he couldn?t see anything and didn?t eat or drink.",यैक तीन दिन तलक वील के लै नि देखि सक और के खाय-पिय लै नै।,दिन तलक वील के लै नि देखि सक और के खाय-पिय लै नै।
"Before this honor, they?d already received many awards for promoting Kumaoni language and culture.","य सम्मान मिलण है पैंली लै उनूकैं कुमाउनी भाषा, संस्कृति प्रचारै लिजी कई सम्मान मिल गेई।",मिल गेई। मिल गेई। मिल गेई।
"Whoever doesn?t bring personal or family problems before me, that?s why my writing gets obstructed.",जनुल अपण व्यक्तिगत या पारिवारिक क्ये लै संमस्या म्यर सामणी नि धरि जैक वजैल म्यर लेखन में बाधा पड़ौ।,अ अ अ अ अ अ अ अ अ अ अ
He?d give the opposite instead.,उल्ट कै नड़क्ये जै दिनेर भै।,नड़क्ये जै दिनेर भै।
And they prepared food for them there.,और उनुल वां त्यार खॉणक लिजी तैय्यारी करी।,वां त्यार खॉणक लिजी तैय्यारी करी।
"Then Paul replied, I?m from the Cilicia region.","तब पौलुसल जबाब दे, मी किलिकिया प्रदेशक छूं।","लुसल जबाब दे, मी किलिकिया प्रदेशक छूं।"
"The villagers were made to cut wood from the jungle and haul it to motor roads as forced labor by the British, so resentment against this injustice started brewing among the people.",गौं वालन कैं जङव बटी लकाड़ काटण पर जरवाना तौर पर उनन थैं बेगार में अंग्रेजन द्वारा लकाड़ कटान और मोटर मार्गन तक ढुलान कराई जान लागौ तो य अन्यायाक खिलाफकि सुगबुगाट लोगन में हुण लागै।,वालन कैं जङव बटी लकाड़ काटण पर जरवाना तौर पर उनन थैं बेगार में अंग्रेजन द्वारा लकाड़ कटान और मोटर मार्गन तक ढुलान कराई जान लागौ तो य अन्यायाक खिलाफकि सुगबुगाट लोगन में हुण लागै।
This isn?t just a ritual song but a tradition flowing like an ceaseless Ganga from generations.,यो केवल संस्कार गीत न्हैंतन बल्किन पीढ़ियों बटी अविरल गंगा चारी निर्झर झरते रूंणी परंपरा छ।,संस्कार गीत न्हैंतन बल्किन पीढ़ियों बटी अविरल गंगा चारी निर्झर झरते रूंणी परंपरा छ।
"Afterward, they?ll regret it, and I?ll do them good.",नतेरि यौं पछ्‌ताव करन और मी इनुकैं भल करि दिंछी।,१) नरि यौं पछ् ताव करन और मी इनुकैं भल करि दिंछी।
"I?m thinking, Dhanashabasi, these researchers!","मैं सोचणै छ्यूं, धनशाबासि यो रिस्यारों हूं।","धनशाबासि यो रिस्यारों हूं, धनशाबासि यो रिस्यारों हूं।"
"The lawyer took leave and quickly came, telling the boss I?m going to Delhi; my job will be there too.",वकील सैब हें छुट्टी लिबेर जल्दी अै जूल सैब कें बतै द्युल मैं दिल्ली जाणयूँ मेरि नौकरी दिल्ली में लै जालि।,कें बतै द्युल मैं दिल्ली जाणयूँ मेरि नौकरी
"I?m ready to give not one but four, like this.",मैं एक त क्या यसै चार चनु दिहणि तैयार छौं।,त क्या यसै चार चनु दिहणि तैयार छौं।
"Then he called ten leading men of the city there and sat with them too; Boaz told him, Naomi, who came back from Moab, wants to sell our family land.","तब वील नगरॉक दस पधान मैंसों कैं वां बुलैबेर लै बैठाईं, और बोअजल उकैं बता, नामी जो मोआब देश बे वापिस ऐ गे, उ आपण बैगक गड़ कैं बेचण चां।","नगरॉक दस पधान मैंसों कैं वां बुलैबेर लै बैठाईं, और बोअजल उकैं बता, नामी जो मोआब देश बे वापिस ऐ गे, उ आपण बैगक गड़ कैं बेचण चां।"
He was with you too.,ऊँ तुमर दगड़ी लै छी।,» Unlabelled » तुमर दगड़ी लै छी।
"Well, I reached Lucknow and even the boy?s house.",खैर लखनौ पुज और च्याला ड्यार् में ले पुज।,खनौ पुज और च्याला ड्यार् में ले पुज
Bharatendu Rautela says he loves his language and culture and suggests to his friends too.,भारतेंदु रौतेला बतूनी कि उनूकैं आ्पणि भाषा संस्यकृति दगै प्यार छु और दगड़ियोंल लै सुझाव दे।,ेंदु रौतेला बतूनी कि उनूकैं आ्पणि भाषा संस्यकृति दगै प्यार छु और दगड़ियोंल लै सुझाव दे।
"As soon as Dayananda?s wife opened the door, she said, You came early today, what?s the matter?","दयान्दा घरवाइल द्वार खोलते ही, आज जल्दी एै गछा क्ये बात?",What's your name? What's your name? What's your name?
"They said again, No, we are twelve brothers.","उनुल फिर कौ, ना, हम बार भै छूं।","कौ, ना, हम बार भै छूं।"
She lifted the mango from the basket in her mouth and touched it with her hand; the mango had gone completely cold.,उनिल आम्क मुख में बै ढकिण उठा ताई देखि हिक्वव परि हाथ लगा आम् बिलकुल ठंडी पड़ि है।,मुख में बै ढकिण उठा ताई देखि हिक्वव परि हाथ लगा आम् बिलकुल ठंडी पड़ि है।
The path changed after two months.,पै द्वी मैहैण तक बाट् बदेलि दी।,. . . . . . . .ी मैहैण तक बाट् बदेलि दी।
"Through Pirul Art, they teach Aipan art to school kids and hill women, turning Pirul Art into a source of employment too.","पिरूल आर्ट दगडै़ ऊं ऐपण कला इस्कूली नानू व पहाड़ाक स्यैणियों कैं सिखूनी, दगड़ै पिरूल आर्ट कैं रूजगारक रूप में लै बदलनई।","दगड़ै पिरूल आर्ट दगडै़ ऊं ऐपण कला इस्कूली नानू व पहाड़ाक स्यैणियों कैं सिखूनी, दगड़ै पिरूल आर्ट कैं रूजगारक रूप में लै बदलनई।"
"One day, Parthu had two boys ready like this.",एक दिन परथुक द्वी च्यल कौतिक हणि तैयार हइ हय।,परथुक द्वी च्यल कौतिक हणि तैयार हइ हय।
"On the way to school, there was a village, and in that village lived the headman Karan.",इसकूल जाणी बाट् में एक गौं पड़ने भै और ऊ गौं में पधान करांक घर।,१) जाणी बाट् में एक गौं पड़ने भै और ऊ गौं में पधान करांक घर।
"Well, Kedangail put on his slippers and began wandering around, but one slipper broke loose while walking.",खैर केढंगैल आपण चप्पल पैर उ सब जाग चांण चितूण लागि पर वीक एक चप्पल उकं बेर बेर हिटण में बुणन भैटी।,ढंगैल आपण चप्पल पैर उ सब जाग चांण चितूण लागि पर वीक एक चप्पल उकं बेर बेर हिटण में बुणन भैटी।
Eating and drinking were all fine.,खाण पिणु सब ठिक है गोय।,पिणु सब ठिक है गोय।
"The mute one helped sometimes by splitting wood, sometimes plowing with oxen, whatever work was done.","लाट लै मदत करि दिनेर भय कदिन लाकड़ फाड़ दि, कदिन बल्द जोत बेर हौ बा दि जैल जस कॉय करि दिनेर भय।","कदिन बल्द जोत बेर हौ बा दि जैल जस कॉय करि दिनेर भय कदिन लाकड़ फाड़ दि, कदिन बल्द जोत बेर हौ बा दि जैल जस कॉय करि दिनेर भय।"
"In two or three hours, the vehicle reached the village.",द्वि-तीन घंट में गाड़ि गौं में पुजि गे।,एक घंट में गाड़ि गौं में पुजि गे।
"That day, Joseph and Mary named him Jesus.",उ दिन यूसुफ और मरियमल उनर नाम यीशु धरौ।,यूसुफ और मरियमल उनर नाम यीशु धरौ।
"From my side, everyone is equal.",म्यर तरुफ बै सब बराबरी छें।,. . . . . . .यर तरुफ बै सब बराबरी छें।
"By ten o?clock, Devaki?s father, the sister-in-law, and Damu were all ready.","दस बजियक टैम, देबकी बुबु, भागुलि और दमु सबै तयार है गयीं।",३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-३-
Radha was thinking knowingly with the cowherd that today this long-pending tangled task would finally be done.,राधा गौंसाउ हैं जान-जानै सोचणै कि चलो आज यो भौत दिनोंक अलझ्याटक काम लै पुर है गो।,. . . . .साउ हैं जान-जानै सोचणै कि चलो आज यो भौत दिनोंक अलझ्याटक काम लै पुर है गो।
Break the lump!,भाट् टोढ़ि द्यूल!,. . . . टोढ़ि द्यूल!
And he found a golden necklace in her neck too.,और वीक गव मिं एक सुनक हार लै खितौ।,"I'm sorry, I'm sorry, I'm sorry, I'm sorry, गव मिं एक सुनक लै खितौ।"
What do you like watching on TV?,टीवी में के देखण भल लगौं?,के देखण भल लगौं?
How good it feels to be in your hands.,कदुक भल लागंण लाग र त्यार हाथ में।,भल लागंण लाग र त्यार हाथ में।
"In writing plans, three types of creators will be awarded in the three-day national Kumaoni language conference in November.",लेखन योजनाओं में तीन छांट रचनाकारों कैं नवंबर महैण में हुणी तीन दिनी राष्ट्रीय कुमाउनी भाषा सम्मेलन में पुरस्कार दिई जां।,कुमाउनी भाषा में तीन छांट रचनाकारों कैं नवंबर महैण में हुणी तीन दिनी राष्ट्रीय कुमाउनी भाषा सम्मेलन में पुरस्कार दिई जां।
I heard you teach many kids from your side and help people too.,मैंल सुणी कि तुम कतुक नानतिनान कैं आपणि तरब बै पढूंछा और लोगनकि मधत लै करछा।,मैं जानता हूं कि तुम कतुक नानतिनान कैं आपणि तरब बै पढूंछा और लोगनकि मधत लै करछा।
"In the meantime, wandering around and talking was happening.",यतु घुमै फिरै बेर बात करणा छा।,फिरै बेर बात करणा छा।
The girl emptied my bag completely.,च्यलि त म्यर झोल के खाली करदे।,त म्यर झोल के खाली करदे।
Who brought water to cook the rice?,कैल भात बनाणु को पाणि ल्यां।,१) बनाणु को पाणि ल्यां।
